time(min),BAT F NOT PRESENT,STALL WARNING
0,0,0
0.040336849999999994,0,0
0.0419991,0,0
0.04366648333333333,0,0
0.04544343333333334,0,0
0.04700376666666667,0,0
0.048668333333333334,0,0
0.050451333333333334,0,0
0.05200133333333333,0,0
0.053672783333333335,0,0
0.0553397,0,0
0.0570036,0,0
0.058669316666666665,0,0
0.06132898333333334,0,0
0.06200668333333333,0,0
0.06466456666666666,0,0
0.06533563333333334,0,0
0.06800943333333333,0,0
0.06868553333333333,0,0
0.07133355,0,0
0.0720238,0,0
0.0746625,1,0
0.07535556666666667,1,0
0.07869056666666667,1,0
0.08034854999999999,1,0
0.08201956666666667,1,0
0.08201956666666667,1,0
0.08544928333333333,1,0
0.08702006666666666,1,0
0.08868376666666666,1,0
0.09035581666666667,1,0
0.09202881666666667,1,0
0.09368775,1,0
0.09535323333333334,1,0
0.09701641666666666,1,0
0.09868781666666666,1,0
0.10085258333333333,1,0
0.1020224,1,0
0.10463503333333334,1,0
0.10535035,1,0
0.10799791666666667,1,0
0.10919206666666667,1,0
0.11132748333333334,1,0
0.11201715000000001,1,0
0.11466083333333332,1,0
0.11535411666666667,1,0
0.11800648333333333,1,0
0.1186863,1,0
0.12161773333333334,1,0
0.12212725,1,0
0.12465916666666667,1,0
0.12586888333333332,1,0
0.12799023333333334,1,0
0.12946045,1,0
0.13132685,1,0
0.13312716666666666,1,0
0.13534856666666667,1,0
0.13702046666666665,1,0
0.13868426666666667,1,0
0.14035219999999998,1,0
0.14203285,1,0
0.14368501666666667,1,0
0.1453534,1,0
0.14701931666666665,1,0
0.14868553333333331,1,0
0.15071046666666668,1,0
0.15201653333333334,1,0
0.15438378333333333,1,0
0.15535055,1,0
0.15701793333333333,1,0
0.15880256666666667,1,0
0.16133143333333333,1,0
0.16246051666666667,1,0
0.16466451666666665,1,0
0.16613523333333333,1,0
0.16800298333333333,1,0
0.16868151666666667,1,0
0.17161988333333333,1,0
0.17201593333333334,1,0
0.17466253333333334,1,0
0.17536076666666667,1,0
0.17868643333333334,1,0
0.18035221666666668,1,0
0.18201988333333333,1,0
0.18201988333333333,1,0
0.18537501666666667,1,0
0.18701806666666668,1,0
0.18868543333333335,1,0
0.1903522666666667,1,0
0.19202975,1,0
0.1937410333333333,1,0
