time(min),SOC<30%,STALL WARNING
0,0,0
0.033559566666666665,0,0
0.035230583333333336,0,0
0.03689945,0,0
0.0385823,0,0
0.04024955,0,0
0.04191636666666666,0,0
0.043585283333333336,0,0
0.045248916666666666,0,0
0.0469262,0,0
0.04858535,0,0
0.05040198333333334,0,0
0.05193325,0,0
0.05361035,0,0
0.05526855,0,0
0.05694356666666667,0,0
0.05862716666666667,0,0
0.06027338333333333,0,0
0.06193808333333333,0,0
0.06378351666666666,0,0
0.06526686666666667,0,0
0.06801686666666668,0,0
0.06860033333333335,0,0
0.07128741666666666,0,0
0.07193861666666666,0,0
0.07461855,0,0
0.07528946666666668,0,0
0.07795045,0,0
0.07860033333333334,0,0
0.08148091666666665,0,0
0.0819373,0,0
0.08484036666666665,0,0
0.08526338333333333,0,0
0.08827018333333334,0,0
0.08860165,0,0
0.09128908333333334,0,0
0.09196925,0,0
0.09525968333333333,0,0
0.09692885,0,0
0.0985959,0,0
0.10025685,0,0
0.10193185,0,0
0.10360048333333334,0,0
0.10526769999999999,0,0
0.10694186666666666,0,0
0.10860986666666667,0,0
0.11027925,0,0
0.11194271666666666,0,0
0.11361725,0,0
0.1152796,0,0
0.11709466666666667,0,0
0.11861393333333334,0,0
0.12028716666666665,0,0
0.12194278333333333,0,0
0.12361553333333333,0,0
0.12529298333333333,0,0
0.12694873333333334,0,0
0.12861266666666668,0,0
0.13028610000000002,0,0
0.13196825,0,0
0.13412925,0,0
0.135277,0,0
0.13695045,0,0
0.1386152,0,0
0.14029863333333334,0,0
0.14196463333333334,0,0
0.1436352,0,0
0.14530955,0,0
0.14791888333333333,0,0
0.14897091666666665,0,0
0.15126458333333334,0,0
0.15261171666666665,0,0
0.15461724999999998,0,0
0.15627843333333333,0,0
0.15795696666666667,0,0
0.15862901666666668,0,0
0.16128275,0,0
0.16194181666666665,0,0
0.16461625000000002,0,0
0.16608513333333333,0,0
0.16801185,0,0
0.16860989999999998,0,0
0.17128286666666667,0,0
0.17194468333333335,0,0
0.174635,0,0
0.17529498333333335,0,0
0.17796019999999999,0,0
0.1802487,0,0
0.18129025000000001,0,0
0.18359035,0,0
0.18468455,0,0
0.18693758333333332,0,0
0.18860516666666666,0,0
0.19027545,0,0
0.19194435,0,0
0.19361358333333334,0,0
0.19527323333333332,0,0
0.19694901666666667,0,0
0.19860731666666667,0,0
0.20042700000000002,0,0
0.2019425,0,0
0.20364069999999998,0,0
0.2052787,0,0
0.20698336666666667,0,0
0.20862773333333334,0,0
0.21032941666666666,0,0
0.21220211666666666,0,0
0.21361783333333334,0,0
0.21528191666666668,0,0
0.21709373333333332,0,0
0.21860895,0,0
0.22029688333333333,0,0
0.22194591666666666,0,0
0.22363443333333335,0,0
0.22529801666666666,0,0
0.22700175,0,0
0.22860646666666667,0,0
0.23070013333333333,0,0
0.23194273333333335,0,0
0.23466963333333332,0,0
0.23536186666666667,0,0
0.2379551166666667,0,0
0.23903239999999998,0,0
0.24129311666666667,0,0
0.2426951,0,0
0.24462103333333335,0,0
0.24550260000000002,0,0
0.24795441666666665,0,0
0.24920083333333332,0,0
0.25135213333333334,0,0
0.25290413333333334,0,0
0.25494066666666665,0,0
0.25659973333333336,0,0
0.25795685,0,0
0.25864716666666665,0,0
0.2619517333333333,0,0
0.26362616666666666,0,0
0.2652907333333333,0,0
0.26695935,0,0
0.268628,0,0
0.27030116666666665,0,0
0.2719644333333333,0,0
0.2736401333333333,0,0
0.27530865,0,0
0.2769734,0,0
0.27880473333333333,0,0
0.2803039,0,0
0.2819570833333333,0,0
0.28389973333333335,0,0
0.2852949,0,0
0.28697211666666667,0,0
0.28862765,0,0
0.2903662833333333,0,0
0.29198135000000003,0,0
0.29463125,0,0
0.2952929666666667,0,0
0.29796188333333334,0,0
0.29960843333333337,0,0
0.3013463333333333,0,0
0.30265396666666666,0,0
0.3046310833333334,0,0
0.3063553333333333,0,0
0.3079606,0,0
0.3091203166666667,0,0
0.31128619999999996,0,0
0.31294541666666664,0,0
0.31462266666666666,0,0
0.3159813166666667,0,0
0.31801455,0,0
0.3195367333333334,0,0
0.3216083,0,0
0.3232357666666667,0,0
0.32496573333333334,0,0
0.32670988333333334,0,0
0.3284723333333333,0,0
0.33027011666666667,0,0
0.33196034999999996,0,0
0.33360935,0,0
0.3353004833333333,0,0
0.33696793333333336,0,0
0.3386328,0,0
0.34031364999999997,0,0
0.34202521666666663,0,0
0.34363575,0,0
0.34533746666666665,0,0
0.3470404833333333,0,0
0.34882708333333334,0,0
0.3504065333333333,0,0
0.35206590000000004,0,0
0.35383146666666665,0,0
0.3552991166666667,0,0
0.35697524999999997,0,0
0.35883204999999996,0,0
0.36055153333333334,0,0
0.36229918333333333,0,0
0.36395679999999997,0,0
0.36530151666666666,0,0
0.36735556666666663,0,0
0.36863913333333337,0,0
0.37060651666666666,0,0
0.37259585,0,0
0.37415745,0,0
0.37567344999999996,0,0
0.3773919,0,0
0.37959869999999996,0,0
0.38126156666666666,0,0
0.38287641666666666,0,0
0.3846773666666667,0,0
0.38620695000000005,0,0
0.3879594833333333,0,0
0.3896339833333333,0,0
0.39128968333333336,0,0
0.3928896666666667,0,0
0.3946462833333333,0,0
0.39622035,0,0
0.3979584833333333,0,0
0.39970849999999997,0,0
0.40141388333333333,0,0
0.40307425,0,0
0.40493799999999996,0,0
0.40668760000000004,0,0
0.4082271666666667,0,0
0.4099497,0,0
0.41196505,0,0
0.4136336666666667,0,0
0.4153150166666667,0,0
0.41694268333333334,0,0
0.41864715,0,0
0.4203225,0,0
0.42198195,0,0
0.42365201666666663,0,0
0.4253209833333333,0,0
0.42699265000000003,0,0
0.42864845,0,0
0.4303215666666667,0,0
0.43198465,0,0
0.43374666666666667,0,0
0.43531715,0,0
0.4369860666666667,0,0
0.43865166666666666,0,0
0.44032131666666663,0,0
0.4420462666666667,0,0
0.4436501666666666,0,0
0.44540995,0,0
0.44705148333333333,0,0
0.44909161666666664,0,0
0.45031711666666663,0,0
0.45207478333333334,0,0
0.45409585,0,0
0.45578765,0,0
0.45707498333333335,0,0
0.4590958666666667,0,0
0.46079416666666667,0,0
0.46208336666666666,0,0
0.46410121666666665,0,0
0.46580503333333334,0,0
0.4670915333333333,0,0
0.46911183333333334,0,0
0.47082514999999997,0,0
0.47210935000000004,0,0
0.47411001666666663,0,0
0.47583631666666665,0,0
0.4772501,0,0
0.47874311666666663,0,0
0.4806317,0,0
0.48244218333333333,0,0
0.48422706666666665,0,0
0.4856482833333334,0,0
0.4871589,0,0
0.4889034333333333,0,0
0.4909056333333333,0,0
0.4923789333333333,0,0
0.49415353333333334,0,0
0.49531995,0,0
0.4971370166666667,0,0
0.4989451,0,0
0.5009232333333333,0,0
0.5026001833333333,0,0
0.5041479333333333,0,0
0.50596165,0,0
0.5079365,0,0
0.5095124833333333,0,0
0.5112792833333334,0,0
0.5129239999999999,0,0
0.5146131666666667,0,0
0.5162091166666667,0,0
0.5179565833333334,0,0
0.5194870500000001,0,0
0.5212940833333334,0,0
0.5225596166666667,0,0
0.5246274,0,0
0.5262505833333333,0,0
0.5279665,0,0
0.5290163333333333,0,0
0.53133215,0,0
0.5323370000000001,0,0
0.5346757666666666,0,0
