,Fruit
0,0.0060841130581633625
1,0.005641877559497212
2,0.005311884134951007
3,0.005017092245663427
4,0.004717552501611399
5,0.004416332489537652
6,0.004140615407484537
7,0.00393593155031004
8,0.007468336213105551
9,0.007203674711114797
10,0.006965107869392484
11,0.006905855039827831
12,0.006823294536338223
13,0.006811477222738177
14,0.0034198653857841184
15,0.003444761397729326
16,0.0035068408299248274
17,0.0036331026065071414
18,0.0036789374507175364
19,0.0037790288636351424
20,0.0038359190807615595
21,0.003797235428542225
22,0.0037491862982956753
23,0.007371315162333113
24,0.007293081928093595
25,0.007357292243067917
26,0.007418654313040987
27,0.007467219483860485
28,0.003763754104872171
29,0.003698773115426993
30,0.003707861961476838
31,0.0036559820930291633
32,0.0036753782691007716
33,0.003725190351496276
34,0.003795427362058608
35,0.003952121198127886
36,0.004153257041128868
37,0.004375879192668746
38,0.00920163629950854
39,0.009510890855472897
40,0.00986200469259166
41,0.010348877425873154
42,0.010684954132198951
43,0.005591818086860689
44,0.005836025254629465
45,0.006022123667481285
46,0.006190477893134694
47,0.006268470747824229
48,0.006448202981705885
49,0.006593328488123678
50,0.006694128164542154
51,0.006837190667224846
52,0.013645750058775094
53,0.013159041368217102
54,0.012627184295165359
55,0.01191255196446881
56,0.010952316864383011
57,0.010033488957484966
58,0.004763244831418394
59,0.004500510572744495
60,0.004329898559961765
61,0.004228207654530035
62,0.004227810316720714
63,0.0042438163936769245
64,0.0042701507085620505
65,0.004287403309489181
66,0.008651714311547772
67,0.00871967906975006
68,0.008688321530537562
69,0.008711434754548438
70,0.008699991620632595
71,0.008713213111751295
72,0.004370301528950894
73,0.004419150229457051
74,0.004388150952389634
75,0.0044436245599365565
76,0.00482333338181643
77,0.005307788090153414
78,0.005815930654082194
79,0.006473412726342614
80,0.00712987523068173
81,0.0077467280760193215
82,0.00815128343526352
83,0.008477978531394497
84,0.008891616512854474
85,0.006446059719182306
86,0.005850945055974148
87,0.0053911753598021184
88,0.0050629189752356505
89,0.004678697662401794
90,0.004289511659907673
91,0.004036451287010506
92,0.0037575888073885693
93,0.00368329527377725
94,0.0035457889345733946
95,0.0035020035401200395
96,0.003499938178101586
97,0.007059363337084624
98,0.007139107305051709
99,0.007266736523333549
100,0.007467124577274457
101,0.007829309787488895
102,0.004048408161274242
103,0.004293269474055401
104,0.004345809034412529
105,0.004406455863860608
106,0.004505608540351701
107,0.0046318930236499455
108,0.004634820569260932
109,0.00475970823253061
110,0.010168486861026527
111,0.010545116770561047
112,0.011267709102101914
113,0.011705380425562838
114,0.01230704008772682
115,0.012236429859633222
116,0.01173589422369055
117,0.005670340134810525
118,0.005358778538025852
119,0.005142184786930391
120,0.0049498561435771206
121,0.004903387793869613
122,0.004934305707529966
123,0.004970815736298619
124,0.005112854965222508
125,0.010450797495197476
126,0.010616919019949376
127,0.010776940722690658
128,0.011017339044108834
129,0.011213438226355156
130,0.005604092260798258
131,0.005702101006173881
132,0.005738984131333122
133,0.005675840707987369
134,0.0056723560954437665
135,0.005737375327013702
136,0.005793388601024401
137,0.005904342902709499
138,0.0060462832957965534
139,0.006046964181081669
140,0.0122512067970012
141,0.012296857640923734
142,0.012178723730594039
143,0.011798091409016167
144,0.011674670067865588
145,0.00576563364238327
146,0.005666161423956599
147,0.005590012257440828
148,0.00552205523356355
149,0.00545251694432943
150,0.005330436092474363
151,0.005082517726979641
152,0.004844301863812078
153,0.004804500093752293
154,0.00944595132590223
155,0.009378091384235942
156,0.009474382960367268
157,0.009514084469582691
158,0.009581975649421875
159,0.009548639630197562
160,0.004825537928332637
161,0.004812906628408626
162,0.00488888838436155
163,0.0050484419397756955
164,0.005176828393419211
165,0.005327436456212112
166,0.005439252553280014
167,0.005470696281581034
168,0.0054786246181594824
169,0.01089567735257051
170,0.010863265260380731
171,0.01073138155342817
172,0.0484118957470744
173,0.051128939349763126
174,0.06056160147900373
175,0.06406773689318183
176,0.06846930562204988
177,0.07253432256851355
178,0.07874711887809459
179,0.006065174179080105
180,0.005547540259752822
181,0.00507883738381517
182,0.0047459434310210685
183,0.004522728502957909
184,0.004300266032597474
185,0.00412390182608299
186,0.003958838392582631
187,0.0038229382279787723
188,0.003785317856700691
189,0.00378072974026314
190,0.0038592399903686165
191,0.007893260668264424
192,0.008159820916525094
193,0.008411798685210076
194,0.008615960542348151
195,0.0090698449781411
196,0.00938660541597657
197,0.004727050664233042
198,0.00493130180505442
199,0.005071956238221878
200,0.00519721797540144
201,0.005423866130559215
202,0.005597722550033344
203,0.00572895045311299
204,0.011891093401109672
205,0.012385715404063238
206,0.01287254590743674
207,0.013159301434148108
208,0.013061100067928285
209,0.012850261800011897
210,0.012169382562795638
211,0.005847368853289567
212,0.0056342550005833245
213,0.005436948942022952
214,0.005345104607110178
215,0.005431904402653411
216,0.005585279451919704
217,0.005871020465977839
218,0.012609353510945531
219,0.013879497054466436
220,0.015055549730842773
221,0.006600675077302657
222,0.006169503657092587
223,0.005948007539696245
224,0.00566645395827074
225,0.005409208009429069
226,0.005232691877281473
227,0.010364019162202354
228,0.010255571873296421
229,0.010358633941143364
230,0.010367477898240293
231,0.010497116387224231
232,0.010701485890796041
